id_planta,humedad_suelo,temperatura_ambiente,luminosidad,nitrogeno,potasio,fosforo,fecha
1,65.5,18.2,0.0,2.1,1.8,1.2,2026-05-20 00:00:00
1,63.2,21.5,4500.0,2.1,1.8,1.2,2026-05-20 06:00:00
1,58.0,28.4,45000.0,2.0,1.7,1.2,2026-05-20 12:00:00
1,60.1,24.1,12000.0,2.0,1.7,1.1,2026-05-20 18:00:00
1,57.3,17.9,0.0,2.0,1.7,1.1,2026-05-21 00:00:00
1,70.0,20.8,4100.0,2.2,1.9,1.3,2026-05-21 06:00:00
1,64.2,27.6,43500.0,2.2,1.8,1.3,2026-05-21 12:00:00
1,61.8,23.5,11500.0,2.1,1.8,1.2,2026-05-21 18:00:00
2,80.2,16.5,0.0,1.5,1.2,0.8,2026-05-20 00:00:00
2,79.0,18.0,800.0,1.5,1.2,0.8,2026-05-20 06:00:00
2,75.4,22.3,2500.0,1.4,1.1,0.7,2026-05-20 12:00:00
2,74.1,19.8,600.0,1.4,1.1,0.7,2026-05-20 18:00:00
2,72.8,16.1,0.0,1.4,1.1,0.7,2026-05-21 00:00:00
2,82.0,17.5,750.0,1.6,1.3,0.9,2026-05-21 06:00:00
2,78.5,21.9,2400.0,1.5,1.2,0.8,2026-05-21 12:00:00
2,76.3,19.2,550.0,1.5,1.2,0.8,2026-05-21 18:00:00
3,40.1,19.0,0.0,0.8,1.5,0.5,2026-05-20 00:00:00
3,39.5,22.4,5000.0,0.8,1.5,0.5,2026-05-20 06:00:00
3,35.2,31.2,52000.0,0.7,1.4,0.4,2026-05-20 12:00:00
3,34.0,26.7,15000.0,0.7,1.4,0.4,2026-05-20 18:00:00
3,33.5,18.5,0.0,0.7,1.4,0.4,2026-05-21 00:00:00
3,45.0,21.8,4800.0,0.9,1.6,0.6,2026-05-21 06:00:00
3,41.3,30.5,50500.0,0.8,1.5,0.5,2026-05-21 12:00:00
3,38.7,25.9,14200.0,0.8,1.5,0.5,2026-05-21 18:00:00
